hotelCode,hotelName,categoryCode,categoryName,destinationCode,destinationName,zoneCode,zoneName,latitude,longitude,roomCode,roomName,rateKey,rateClass,rateType,net,allotment,paymentType,packaging,boardCode,boardName,rooms,adults,children,cancellationFrom,cancellationAmount
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.SU,Superior Room,20260514|20260515|W|270|137680|DBL.SU|GAR-RO EXIN|RO||1~2~0||N@07~~21b23~1051507305~N~~~NOR~~126C140D4D6D43D177827024913205AAUK006100000000012161d,NOR,BOOKABLE,29.22,5,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,29.22
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.LX-1,Premium Room,20260514|20260515|W|270|137680|DBL.LX-1|GAR-RO EXIN|RO||1~2~0||N@07~~20a27~-1105111671~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000122620,NOR,BOOKABLE,32.38,8,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,32.38
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.DX-1,Deluxe Room,20260514|20260515|W|270|137680|DBL.DX-1|GAR-RO EXIN|RO||1~2~0||N@07~~2492e~-1227689080~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000124726,NOR,BOOKABLE,38.71,2,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,38.71
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,SUI.DX,Suite Room with Bathtub,20260514|20260515|W|270|137680|SUI.DX|GAR-RO EXIN|RO||1~2~0||N@07~~25241~610829732~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000123436,NOR,BOOKABLE,54.52,1,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,54.52
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||P@07~~21133~1808614488~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000121133,NOR,BOOKABLE,51.17,83,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,51.17
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||N@07~~20237~2059525538~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000120237,NOR,BOOKABLE,55.02,83,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,55.02
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||P@07~~20244~1649493060~N~~~NOR~~126C140D4D6D43D177827024913205AAUK006100000000012623a,NOR,BOOKABLE,58.98,83,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,58.98
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||N@07~~22b4c~-1371695643~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000121c42,NOR,BOOKABLE,66.28,83,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,66.28
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260515|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||P@07~~21133~-1363252912~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000121133,NOR,BOOKABLE,51.17,48,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,51.17
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260515|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||N@07~~20237~-1112341862~N~~~NOR~~126C140D4D6D43D177827024913205AAUK0061000000000120237,NOR,BOOKABLE,55.02,48,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,55.02
